plant_id,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source
26637,11759.88317,11005.43604,11147.02277,9219.005999,11268.60905,11445.47286,11005.56451,U.S. Energy Information Administration
26638,47.197,38.21,44.142,42.405,57.399,71.741,48.674,U.S. Energy Information Administration
26639,6362.81004,7974.026953,5168.266019,4534.110017,3845.242028,4117.512043,2310.697016,U.S. Energy Information Administration
26640,0,0,1.126,166.259,170.872,156.127,156.601,U.S. Energy Information Administration
26641,0,0,0,10.353,9.924,10.224,10.046,U.S. Energy Information Administration
26642,0,0,0,0,0.957,1.295,1.094,U.S. Energy Information Administration
26643,0,0,0,0,0,0,1.49985,U.S. Energy Information Administration
26644,1699.398,1594.647,1597.488,1369.003,1935.422,2788.408,2161.865,U.S. Energy Information Administration
26645,0,0,0,0,0.754,1.479,1.198,U.S. Energy Information Administration
26646,4.752,5.139,4.604,5.438,4.651,4.327,3.922,U.S. Energy Information Administration
26647,6.631,6.359,6.377,6.326,6.073,5.729,6.299,U.S. Energy Information Administration
26648,499.015004,470.120004,337.748005,181.092,173.522001,157.674,148.123,U.S. Energy Information Administration
26649,3.238,2.831,9.179,37.04,111.77,34.985,80.27,U.S. Energy Information Administration
26650,26.621,29.612,26.976,28.984,30.436,28.36,32.385,U.S. Energy Information Administration
26651,0,0,0,0,0,0,10.095,U.S. Energy Information Administration
26652,234.21216,211.11356,277.29002,167.69564,167.26542,155.33392,330.1918,U.S. Energy Information Administration
26653,0,0,0,0,0,0.317,26.448,U.S. Energy Information Administration
26654,0.018,0.021,0.018,0.026,0.008,0.071,0.145,U.S. Energy Information Administration
26655,997.375002,1029.439997,524.508997,644.656002,446.758005,562.090002,168.609997,U.S. Energy Information Administration
26656,12.79971,14.463,13.977,13.961,13.661,12.004,12.896,U.S. Energy Information Administration
26657,35.928,32.05,16.425,86.666,25.713,59.832,46.102,U.S. Energy Information Administration
26658,6804.022,5917.335,6800.771,5925.356,6912.737,5632.14,6951.6,U.S. Energy Information Administration
26659,0,0,0,0,1.33,13.787,14.457,U.S. Energy Information Administration
