plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
525,Kalgoorlie Nickel Smelter,AUS0000209,42,4,,1033312,,Southern Cross Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
526,Kambalda,AUS0000210,42,4,,1033313,,Southern Cross Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
527,Kangaroo Valley (Shoalhaven Scheme),AUS0000279,160,6,,,,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
528,Karadoc Solar Farm,AUS0000448,112,11,,1096003,,BayWa,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
529,Kareeya,AUS0000161,88,6,,1067221,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
530,Karratha,AUS0000189,86,4,,1075751,,ATCO Power,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
531,Katherine,AUS0000259,34.7,4,,1024443,,NT Government,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
532,Kemerton,AUS0000211,260.9,4,,1058552,,Transfield Services Infrastructure Fund,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
533,Kiata Wind Farm,AUS0000506,31.05,#N/A,,,,Windlab Limited,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
534,Kidston I,WKS0066503,50,11,,,,,Wiki-Solar,Wiki-Solar,
535,King Island (Currie),AUS0000449,8.55,8,,1019017,,Hydro Tasmania,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
536,Kogan Creek,AUS0000162,744,1,,1043910,,CS Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
537,Koombooloomba,AUS0000055,7.3,6,,1050161,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
538,Kununurra,AUS0000370,12.4,8,,1030202,,Horizon Power,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
